@RELATION biodiversitySpreadsheets_whithWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{spCatalog,spOccurrence,geneData,spMonitoring,expObservation}

@DATA
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.00,1.00,0.00,0.00,0.00,0.36,spMonitoring
0.00,0.00,0.34,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.34,0.00,0.00,0.00,spMonitoring
0.17,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.39,0.00,0.02,0.00,0.00,0.00,spMonitoring
0.35,0.00,0.06,0.00,0.00,0.00,spMonitoring
0.47,0.00,0.00,0.00,0.00,0.00,spMonitoring
1.31,0.00,0.04,0.00,0.03,0.00,spMonitoring
0.36,0.00,0.00,0.00,0.00,0.00,spMonitoring
1.11,0.00,0.25,0.00,0.00,0.00,spMonitoring
0.42,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.25,0.00,0.00,0.11,0.00,spMonitoring
0.19,0.00,0.00,0.00,0.00,0.01,spMonitoring
0.06,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.33,0.00,0.00,0.00,0.01,0.01,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.17,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,1.04,0.00,0.00,0.29,spMonitoring
0.00,0.00,0.00,0.00,0.11,0.02,spOccurrence
0.00,0.00,0.00,0.00,0.05,1.00,spOccurrence
0.00,0.00,0.00,0.02,0.00,0.36,spOccurrence
0.23,0.28,0.00,0.00,1.01,0.00,spOccurrence
0.23,0.28,0.00,0.00,1.01,0.00,spOccurrence
0.23,0.28,0.00,0.00,1.01,0.00,spOccurrence
0.00,0.00,0.00,0.00,0.11,0.04,spOccurrence
